quote_date,euribor_1w,euribor_1m,euribor_3m,euribor_6m,euribor_12m
1998-12-30,3.251,3.258,3.248,3.23,3.215
1998-12-31,3.245,3.254,3.245,3.233,3.213
1999-01-01,3.245,3.254,3.245,3.233,3.213
1999-01-04,3.249,3.242,3.234,3.223,3.209
1999-01-05,3.241,3.233,3.222,3.204,3.187
1999-01-06,3.24,3.226,3.214,3.197,3.176
1999-01-07,3.237,3.224,3.206,3.179,3.158
1999-01-08,3.233,3.217,3.196,3.166,3.139
1999-01-11,3.232,3.214,3.193,3.156,3.126
1999-01-12,3.226,3.213,3.19,3.153,3.122
1999-01-13,3.214,3.206,3.183,3.141,3.107
1999-01-14,3.2,3.191,3.163,3.121,3.083
1999-01-15,3.161,3.159,3.134,3.085,3.044
1999-01-18,3.109,3.12,3.101,3.056,3.02
1999-01-19,3.061,3.074,3.056,3.018,2.984
1999-01-20,3.061,3.074,3.054,3.014,2.985
1999-01-21,3.07,3.074,3.056,3.017,2.99
1999-01-22,3.091,3.086,3.059,3.018,2.99
1999-01-25,3.123,3.111,3.069,3.016,2.981
1999-01-26,3.18,3.134,3.08,3.02,2.984
1999-01-27,3.147,3.126,3.08,3.02,2.986
1999-01-28,3.14,3.123,3.077,3.017,2.981
1999-01-29,3.136,3.119,3.074,3.011,2.981
1999-02-01,3.145,3.126,3.078,3.017,2.988
1999-02-02,3.158,3.142,3.091,3.028,3.004
1999-02-03,3.169,3.151,3.098,3.035,3.012
1999-02-04,3.174,3.157,3.105,3.043,3.02
1999-02-05,3.169,3.156,3.107,3.044,3.026
1999-02-08,3.168,3.158,3.113,3.053,3.036
1999-02-09,3.164,3.157,3.112,3.054,3.041
1999-02-10,3.157,3.151,3.109,3.052,3.039
1999-02-11,3.148,3.146,3.106,3.051,3.041
1999-02-12,3.135,3.135,3.1,3.049,3.039
1999-02-15,3.124,3.123,3.099,3.048,3.041
1999-02-16,3.104,3.113,3.092,3.044,3.038
1999-02-17,3.088,3.103,3.086,3.04,3.034
1999-02-18,3.081,3.093,3.079,3.035,3.031
1999-02-19,3.082,3.092,3.077,3.033,3.03
1999-02-22,3.087,3.093,3.075,3.029,3.025
1999-02-23,3.106,3.098,3.076,3.026,3.023
1999-02-24,3.116,3.102,3.079,3.027,3.023
1999-02-25,3.12,3.111,3.087,3.038,3.036
1999-02-26,3.126,3.12,3.098,3.055,3.071
1999-03-01,3.129,3.122,3.099,3.059,3.079
1999-03-02,3.134,3.13,3.115,3.1,3.148
1999-03-03,3.123,3.123,3.112,3.099,3.146
1999-03-04,3.111,3.115,3.111,3.102,3.151
1999-03-05,3.105,3.109,3.104,3.092,3.13
1999-03-08,3.095,3.1,3.093,3.068,3.097
1999-03-09,3.087,3.095,3.087,3.061,3.084
1999-03-10,3.073,3.086,3.081,3.055,3.078
